cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
56.0,-0.05229651592122913,-0.0015337423312883436,0.32937342815583553,-0.22422743114293203,0.363,LH,No significativo
54.0,0.121397497812978,-0.0015337423312883436,0.32937342815583553,0.5297837470960512,0.321,LL,No significativo
95.0,0.11866512318716901,-0.0015337423312883436,0.24665285205918713,0.5094681631839172,0.273,HH,No significativo
100.0,0.24143817599999465,-0.0015337423312883436,0.24665285205918713,0.8428388583792265,0.186,HH,No significativo
112.5,0.6290949305474893,-0.0015337423312883436,0.4948145803491324,1.0363925538207583,0.141,HH,No significativo
30.0,1.0534948150368901,-0.0015337423312883436,0.991138036929023,1.155145047175902,0.062,LL,No significativo
20.0,1.0534948150368901,-0.0015337423312883436,0.991138036929023,0.9405945780854967,0.111,LL,No significativo
85.0,0.2726177819599621,-0.0015337423312883436,0.32937342815583553,1.8842501039072743,0.054,HH,No significativo
106.66666666666667,-0.2026278953971183,-0.0015337423312883436,0.4948145803491324,-0.4403541151033218,0.361,HL,No significativo
70.0,0.0069285026351832615,-0.0015337423312883436,0.32937342815583553,0.18458871432881066,0.487,LL,No significativo
70.0,0.03453930119745716,-0.0015337423312883436,0.24665285205918713,0.9484402446402758,0.173,LL,No significativo
52.857142857142854,0.18288826635161995,-0.0015337423312883436,0.1970205064011981,0.9069551468419584,0.181,LL,No significativo
50.0,0.2837105560434617,-0.0015337423312883436,0.24665285205918713,1.1293667371111875,0.105,LL,No significativo
92.5,0.25308404120356465,-0.0015337423312883436,0.32937342815583553,1.0541506612498042,0.14,HH,No significativo
112.5,0.45564699720307467,-0.0015337423312883436,0.1970205064011981,1.2436150496674365,0.107,HH,No significativo
105.0,0.31076271576780357,-0.0015337423312883436,0.24665285205918713,0.9057318564943483,0.177,HH,No significativo
21.666666666666668,1.270542494824375,-0.0015337423312883436,0.4948145803491324,1.6678531584521965,0.008,LL,LL
50.0,-0.4670081342038874,-0.0015337423312883436,0.24665285205918713,-1.8453862729899329,0.052,LH,No significativo
75.0,-0.017229290743416666,-0.0015337423312883436,0.1970205064011981,-1.0934764707596654,0.128,HL,No significativo
20.0,0.37873439168211687,-0.0015337423312883432,0.14029782564921053,0.8915281270725007,0.186,LL,No significativo
60.0,0.13224517479041756,-0.0015337423312883436,0.32937342815583553,0.8143501336782315,0.21,LL,No significativo
85.0,0.08444873356261244,-0.0015337423312883436,0.24665285205918713,0.6720974980374153,0.232,HH,No significativo
70.0,-0.0204561282169281,-0.0015337423312883436,0.32937342815583553,-0.4756243514858082,0.275,LH,No significativo
20.0,1.2727024801108344,-0.0015337423312883436,0.32937342815583553,1.950225840442814,0.002,LL,LL
18.75,1.2921474130129704,-0.0015337423312883436,0.32937342815583553,1.934978797960892,0.002,LL,LL
100.0,0.493610298639286,-0.0015337423312883436,0.32937342815583553,1.4900534551862972,0.082,HH,No significativo
100.0,0.3599590736404616,-0.0015337423312883436,0.24665285205918713,1.2559496596251247,0.121,HH,No significativo
175.0,3.794934254338357,-0.0015337423312883436,0.1970205064011981,3.9629152172371227,0.001,HH,HH
117.5,0.8349124310678884,-0.0015337423312883434,0.1639322759625387,2.235682452365206,0.024,HH,HH
70.0,-0.06121216085229699,-0.0015337423312883436,0.24665285205918713,-1.6785349450704175,0.065,LH,No significativo
50.0,0.1858265132735872,-0.0015337423312883436,0.24665285205918713,0.7511426456195567,0.252,LL,No significativo
56.666666666666664,0.15199301157178943,-0.0015337423312883436,0.1970205064011981,0.9350666333843455,0.176,LL,No significativo
50.0,0.2257145772742475,-0.0015337423312883436,0.24665285205918713,0.9105412061455018,0.191,LL,No significativo
55.0,0.11822186908191161,-0.0015337423312883436,0.24665285205918713,0.6094448778001758,0.297,LL,No significativo
62.0,0.06285593062284023,-0.0015337423312883436,0.24665285205918713,0.5241788425001602,0.332,LL,No significativo
70.0,-0.006335927933808179,-0.0015337423312883436,0.4948145803491324,-0.09231872082827004,0.396,LH,No significativo
22.5,1.0403248348088852,-0.0015337423312883436,0.24665285205918713,1.923694861894033,0.006,LL,LL
30.0,1.0534948150368901,-0.0015337423312883436,0.991138036929023,1.153337919177686,0.062,LL,No significativo
117.5,0.7011548342650814,-0.0015337423312883436,0.32937342815583553,1.2795919950004477,0.113,HH,No significativo
125.0,0.33130478536858815,-0.0015337423312883436,0.1970205064011981,0.6989618243251641,0.222,HH,No significativo
70.0,-0.012112373504175428,-0.0015337423312883436,0.24665285205918713,-0.3244944127424243,0.323,LH,No significativo
50.0,-0.7351445644305487,-0.0015337423312883436,0.24665285205918713,-2.935272739412945,0.01,LH,LH
300.0,5.525837230503391,-0.0015337423312883436,0.1970205064011981,2.6104718103036118,0.016,HH,HH
160.0,3.238483128759996,-0.0015337423312883432,0.14029782564921053,4.6544184790947325,0.001,HH,HH
150.0,1.2503916969516913,-0.0015337423312883436,0.12257198791421446,2.1781770304083876,0.026,HH,HH
85.0,0.1487437551119157,-0.0015337423312883432,0.14029782564921053,1.5933163123356635,0.07,HH,No significativo
